dep,arr,tof_days,c3_km2s2,v_inf_kms,dv1_ms,dv2_ms,total_dv_ms
2026-12-31,2027-09-22,265,1.439689004444365,1.1998704115213297,1199.8704115213297,1072.3343884817418,2272.204800003072
2027-01-14,2027-10-01,260,1.4397586193223801,1.1998994205025604,1199.8994205025604,1071.715119622944,2271.6145401255044
2027-01-09,2027-09-28,262,1.4399148099305188,1.199964503612719,1199.964503612719,1069.8485488461158,2269.813052458835
2027-01-04,2027-09-25,264,1.4399397645189846,1.19997490162044,1199.97490162044,1067.1124056578383,2267.0873072782783
2026-12-02,2027-10-12,314,1.440838291372737,1.2003492372525326,1200.3492372525327,1046.830954195974,2247.180191448507
2026-12-30,2027-09-21,265,1.4421178741234746,1.200882123325797,1200.882123325797,1076.9547972603177,2277.8369205861145
2027-01-11,2027-09-29,261,1.4423714710150437,1.2009877064379317,1200.9877064379318,1073.4224990515202,2274.410205489452
2026-12-24,2027-09-15,265,1.4429583990823982,1.2012320338229405,1201.2320338229406,1104.9534160585642,2306.1854498815046
2026-12-14,2027-10-23,313,1.4431204790574381,1.201299495986508,1201.299495986508,1104.303575240264,2305.603071226772
2026-12-25,2027-09-16,265,1.4431236062664916,1.2013007975800614,1201.3007975800613,1100.2383986654215,2301.539196245483
2026-12-29,2027-09-20,265,1.443637403483305,1.201514628909405,1201.514628909405,1081.582963833589,2283.097592742994
2026-12-26,2027-09-17,265,1.4437059789686943,1.2015431656701703,1201.5431656701703,1095.5463821638482,2297.0895478340185
2026-12-27,2027-09-18,265,1.4442263408430893,1.2017596851463646,1201.7596851463645,1090.8752655545138,2292.634950700878
2027-01-18,2027-10-04,259,1.444246622925312,1.2017681236100881,1201.7681236100882,1064.5236001527708,2266.291723762859
2026-12-28,2027-09-19,265,1.44429249921416,1.201787210455395,1201.787210455395,1086.2219653230823,2288.0091757784776
2027-01-19,2027-10-05,259,1.4448019535551198,1.2019991487331094,1201.9991487331095,1059.307996578809,2261.3071453119182
2027-01-06,2027-09-26,263,1.4448935084357275,1.2020372325496942,1202.0372325496942,1071.018314588219,2273.055547137913
2026-12-03,2027-10-13,314,1.4449322746313678,1.2020533576473915,1202.0533576473915,1052.7394294898143,2254.792787137206
2027-01-17,2027-10-03,259,1.4454888973297078,1.2022848653001117,1202.2848653001117,1069.7661978674976,2272.0510631676093
2027-01-03,2027-09-24,264,1.4458119042971251,1.2024191882605355,1202.4191882605355,1071.8372240968247,2274.25641235736
2027-01-13,2027-09-30,260,1.4461380795153924,1.2025548135180335,1202.5548135180336,1076.9046343026216,2279.4594478206554
2026-12-19,2027-10-27,312,1.446183766281576,1.2025738090785014,1202.5738090785014,1117.5169552893221,2320.090764367824
2027-01-20,2027-10-06,259,1.4471895597837487,1.202991920082487,1202.991920082487,1054.1234210816365,2257.1153411641235
2027-01-08,2027-09-27,262,1.4480011768541823,1.2033292055186653,1203.3292055186653,1074.8170849786218,2278.146290497287
2026-12-24,2027-10-30,310,1.44810434689042,1.203372073338259,1203.3720733382588,1104.8458274677614,2308.21790080602
2027-01-16,2027-10-02,259,1.4483948199114083,1.203492758562098,1203.492758562098,1075.031309925717,2278.5240684878154
2026-12-04,2027-10-14,314,1.4485085428197924,1.203540004661163,1203.540004661163,1058.8529241778772,2262.39292883904
2026-12-15,2027-10-24,313,1.4495387259569539,1.2039679090228916,1203.9679090228917,1112.1541517683168,2316.1220607912082
2026-12-22,2027-10-29,311,1.4502149244483868,1.2042486970922521,1204.248697092252,1115.0235676502737,2319.2722647425257
2027-01-10,2027-09-28,261,1.450385297091005,1.204319433161736,1204.319433161736,1078.5087165853158,2282.8281497470516
2027-01-02,2027-09-23,264,1.4510264904269798,1.2045856094221696,1204.5856094221697,1076.5606329698712,2281.146242392041
2026-12-05,2027-10-15,314,1.4516724297573822,1.2048536964118848,1204.8536964118848,1065.1754007952268,2270.0290972071116
2027-01-05,2027-09-25,263,1.4520975935234584,1.2050301214174932,1205.0301214174933,1075.8623936994911,2280.892515116984
2027-01-15,2027-10-01,259,1.4527761517949704,1.2053116409439388,1205.3116409439388,1080.3143129834714,2285.62595392741
2027-01-12,2027-09-29,260,1.4533648674247397,1.2055558333916931,1205.555833391693,1082.1012803501255,2287.6571137418186
2026-12-06,2027-10-16,314,1.4545510911124828,1.206047715106033,1206.047715106033,1071.7097062157468,2277.7574213217795
2027-01-01,2027-09-22,264,1.4554889357227574,1.2064364615356904,1206.4364615356903,1081.2833932809083,2287.719854816599
2027-01-07,2027-09-26,262,1.4560500934677025,1.20666900741989,1206.66900741989,1079.7827410499933,2286.4517484698836
2026-12-16,2027-10-25,313,1.4572453578119144,1.2071641801395179,1207.1641801395178,1120.1694042202107,2327.333584359729
2026-12-07,2027-10-17,314,1.4572872871951956,1.2071815469080016,1207.1815469080016,1078.457450589405,2285.6389974974063
